subject,stim_name,ensemble,genre,target,mean_pearson
0005,pop_falldead_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.012206297806427504
0005,pop_falldead_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,-0.023254097220747467
0005,pop_falldead_trio_BsDrVx_theme1_stereo_Bs,trio,pop,Bs,-0.0018157658392375436
0005,pop_falldead_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,0.05712927517939676
0005,pop_falldead_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,0.0007958730177978131
0005,pop_mixtape_duo_BsDr_theme2_stereo_Bs,duo,pop,Bs,-1.4126215766453037e-05
0005,pop_mixtape_duo_BsDr_theme2_stereo_Dr,duo,pop,Dr,0.006251420496181225
0005,pop_mixtape_duo_GtVx_theme2_stereo_Gt,duo,pop,Gt,-0.03661770967037633
0005,pop_mixtape_duo_GtVx_theme2_stereo_Vx,duo,pop,Vx,-0.03735381640770152
0005,pop_mixtape_trio_BsDrVx_theme1_stereo_Vx,trio,pop,Vx,0.03833376753116851
0005,pop_mixtape_trio_BsDrVx_theme2_stereo_Bs,trio,pop,Bs,0.02084372923954834
0005,pop_mixtape_trio_BsDrVx_theme2_stereo_Dr,trio,pop,Dr,0.018383647906419994
0007,classique_morceau1_duo_CoFl_theme2_stereo_Co,duo,classique,Co,0.05348138423508029
0007,classique_morceau1_duo_CoFl_theme2_stereo_Fl,duo,classique,Fl,-0.01399029441731576
0007,classique_morceau1_duo_CoOb_theme1_stereo_Co,duo,classique,Co,-0.018812720178366455
0007,classique_morceau1_duo_CoOb_theme1_stereo_Ob,duo,classique,Ob,0.05241589822043218
0007,classique_morceau1_duo_FlOb_theme1_stereo_Fl,duo,classique,Fl,-0.028783375468174065
0007,classique_morceau1_duo_FlOb_theme1_stereo_Ob,duo,classique,Ob,0.006766507786761394
0007,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,trio,classique,Co,0.004321688910294004
0007,classique_morceau1_trio_CoFlOb_theme1_stereo_Fl,trio,classique,Fl,-0.03914859129757369
0007,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,trio,classique,Ob,0.05350775803753765
0007,classique_morceau2_duo_BoFh_theme2_stereo_Bo,duo,classique,Bo,-0.004672906743642099
0007,classique_morceau2_duo_BoFh_theme2_stereo_Fh,duo,classique,Fh,0.05093821340962738
0007,classique_morceau2_duo_BoFl_theme2_stereo_Fl,duo,classique,Fl,0.007590613768479866
0007,classique_morceau2_duo_FhFl_theme2_stereo_Fl,duo,classique,Fl,0.02295118174629131
0007,classique_morceau2_trio_BoFhFl_theme1_stereo_Bo,trio,classique,Bo,-0.04278397161286277
